;0
open;0.26666666666666666
high;0.26666666666666666
low;0.26666666666666666
close;0.26666666666666666
volume;0.0
DEMA5;0.26666666666666666
DEMA30;0.26666666666666666
DEMA60;0.26666666666666666
DEMA150;0.2
DEMA300;0.2
DEMA480;0.2
DEMA2400;0.2
EMA5;0.26666666666666666
EMA30;0.26666666666666666
EMA60;0.2
EMA150;0.2
EMA300;0.26666666666666666
EMA480;0.26666666666666666
EMA2400;0.26666666666666666
EMA12000;0.4666666666666667
MIDPRICE5;0.26666666666666666
MIDPRICE30;0.26666666666666666
MIDPRICE60;0.2
MIDPRICE150;0.2
MIDPRICE300;0.2
MIDPRICE480;0.2
MIDPRICE2400;0.2
MIDPRICE12000;0.26666666666666666
SMA5;0.26666666666666666
SMA30;0.2
SMA60;0.2
SMA150;0.2
SMA300;0.2
SMA480;0.2
SMA2400;0.2
SMA12000;0.4
T35;0.26666666666666666
T330;0.2
T360;0.2
T3150;0.2
T3300;0.2
T3480;0.2
TEMA5;0.26666666666666666
TEMA30;0.26666666666666666
TEMA60;0.26666666666666666
TEMA150;0.2
TEMA300;0.2
TEMA480;0.2
TEMA2400;0.2
TRIMA5;0.26666666666666666
TRIMA30;0.2
TRIMA60;0.2
TRIMA150;0.2
TRIMA300;0.2
TRIMA480;0.2
TRIMA2400;0.2
TRIMA12000;0.13333333333333333
WMA5;0.26666666666666666
WMA30;0.26666666666666666
WMA60;0.2
WMA150;0.2
WMA300;0.2
WMA480;0.2
WMA2400;0.26666666666666666
WMA12000;0.3333333333333333
ADX5;0.0
ADX30;0.0
ADX60;0.0
ADX150;0.0
ADX300;0.0
ADX480;0.0
ADX2400;0.0
ADXR5;0.0
ADXR30;0.0
ADXR60;0.0
ADXR150;0.0
ADXR300;0.0
ADXR480;0.0
ADXR2400;0.0
AROONOSC5;0.0
AROONOSC30;0.0
AROONOSC60;0.0
AROONOSC150;0.0
AROONOSC300;0.0
AROONOSC480;0.0
AROONOSC2400;0.0
AROONOSC12000;0.0
BOP5;0.0
BOP30;0.0
BOP60;0.0
BOP150;0.0
BOP300;0.0
BOP480;0.0
BOP2400;0.0
BOP12000;0.0
CMO5;0.0
CMO30;0.0
CMO60;0.0
CMO150;0.0
CMO300;0.0
CMO480;0.0
CMO2400;0.0
CMO12000;0.0
DX5;0.0
DX30;0.0
DX60;0.0
DX150;0.0
DX300;0.0
DX480;0.0
DX2400;0.0
DX12000;0.0
MFI5;0.0
MFI30;0.0
MFI60;0.0
MFI150;0.0
MFI300;0.0
MFI480;0.0
MFI2400;0.0
MFI12000;0.0
MINUS_DM5;0.0
MINUS_DM30;0.0
MINUS_DM60;0.0
MINUS_DM150;0.0
MINUS_DM300;0.0
MINUS_DM480;0.0
MINUS_DM2400;0.0
MINUS_DM12000;0.13333333333333333
MOM5;0.0
MOM30;0.0
MOM60;0.0
MOM150;0.0
MOM300;0.0
MOM480;0.0
MOM2400;0.0
MOM12000;0.0
ROC5;0.0
ROC30;0.0
ROC60;0.0
ROC150;0.0
ROC300;0.0
ROC480;0.0
ROC2400;0.0
ROC12000;0.0
RSI5;0.0
RSI30;0.0
RSI60;0.0
RSI150;0.0
RSI300;0.0
RSI480;0.0
RSI2400;0.0
RSI12000;0.0
TRIX5;0.0
TRIX30;0.0
TRIX60;0.0
TRIX150;0.0
TRIX300;0.0
TRIX480;0.0
TRIX2400;0.0
WILLR5;0.0
WILLR30;0.0
WILLR60;0.0
WILLR150;0.0
WILLR300;0.0
WILLR480;0.0
WILLR2400;0.0
WILLR12000;0.0
ATR5;0.0
ATR30;0.0
ATR60;0.0
ATR150;0.0
ATR300;0.0
ATR480;0.0
ATR2400;0.0
ATR12000;0.06666666666666667
NATR5;0.0
NATR30;0.0
NATR60;0.0
NATR150;0.0
NATR300;0.0
NATR480;0.0
NATR2400;0.0
NATR12000;0.06666666666666667
BBANDS_5_upperband;0.26666666666666666
BBANDS_5_middleband;0.26666666666666666
BBANDS_5_lowerband;0.26666666666666666
BBANDS_30_upperband;0.26666666666666666
BBANDS_30_middleband;0.2
BBANDS_30_lowerband;0.2
BBANDS_60_upperband;0.2
BBANDS_60_middleband;0.2
BBANDS_60_lowerband;0.2
BBANDS_150_upperband;0.26666666666666666
BBANDS_150_middleband;0.2
BBANDS_150_lowerband;0.2
BBANDS_300_upperband;0.26666666666666666
BBANDS_300_middleband;0.2
BBANDS_300_lowerband;0.2
BBANDS_480_upperband;0.26666666666666666
