;0
open;0.26666666666666666
high;0.26666666666666666
low;0.26666666666666666
close;0.26666666666666666
volume;0.0
average;0.26666666666666666
barCount;0.0
high_low;0.0
close_open;0.0
close_ath;0.6666666666666666
momentum1;0.0
momentum2;0.0
momentum3;0.0
momentum4;0.0
momentum5;0.0
volatility_60;0.0
volatility_30;0.0
volatility_15;0.0
volatility_10;0.0
volatility_5;0.0
skew_60;0.0
skew_30;0.0
skew_15;0.0
skew_10;0.0
skew_5;0.0
kurtosis_60;0.0
kurtosis_30;0.0
kurtosis_15;0.0
kurtosis_10;0.0
kurtosis_5;0.0
roll_measure;0.0
corwin_schultz_est;0.0
bekker_parkinson_vol;0.0
kyle_lambda;0.0
amihud_lambda;0.0
hasbrouck_lambda;0.0
tick_rule;0.0
open_vix;0.0
high_vix;0.0
low_vix;0.0
close_vix;0.0
volume_vix;0.0
vix_high_low;0.0
vix_close_open;0.0
chow_segment;0.0
