iter	Logloss
0	0.6912064349
1	0.6888024682
2	0.6866361859
3	0.6844911113
4	0.6828925749
5	0.6805829828
6	0.6787621076
7	0.6765199432
8	0.6745258926
9	0.6726590934
10	0.6703914149
11	0.6689121869
12	0.6674691836
13	0.6658891426
14	0.6639920684
15	0.6625446227
16	0.6611913412
17	0.6595296494
18	0.6580696051
19	0.6564378436
20	0.6547203464
21	0.6534698107
22	0.652109772
23	0.6501417533
24	0.6484795529
25	0.6470952654
26	0.6451905223
27	0.6434526092
28	0.6421185044
29	0.6399765964
30	0.638647974
31	0.6370231924
32	0.6348812037
33	0.6330696236
34	0.6318389318
35	0.6301280022
36	0.6285024508
37	0.626529467
38	0.6250169462
39	0.6231437977
40	0.6219006888
41	0.6205841112
42	0.6193179528
43	0.6172758212
44	0.6160361398
45	0.614641918
46	0.613001867
47	0.6111386468
48	0.6096780094
49	0.6084998129
50	0.6071202983
51	0.6059866135
52	0.604669404
53	0.6033921853
54	0.6018791223
55	0.6002635538
56	0.5987577017
57	0.597562451
58	0.596482648
59	0.5952124125
60	0.5943383739
61	0.5927550605
62	0.5913649251
63	0.5903880842
64	0.5887593917
65	0.5874159511
66	0.5861921115
67	0.5850002707
68	0.5835983636
69	0.582223892
70	0.5808536182
71	0.5794376181
72	0.5783701581
73	0.5775161521
74	0.5764034655
75	0.5752750003
76	0.573849412
77	0.5728693209
78	0.5720922826
79	0.5711885023
80	0.5701608579
81	0.5692766695
82	0.568178751
83	0.5671700847
84	0.5660397582
85	0.5650151626
86	0.5641989365
87	0.5630972147
88	0.5619403061
89	0.5612078603
90	0.5598755776
91	0.5588931496
92	0.5579235366
93	0.5567766476
94	0.5557836779
95	0.5551888493
96	0.554054397
97	0.5533144638
98	0.5514334502
99	0.5503573113
100	0.5492412545
101	0.5479479675
102	0.5471698569
103	0.546194501
104	0.5449486172
105	0.5440425616
106	0.5433283842
107	0.5422461426
108	0.5409580055
109	0.5401553107
110	0.5391797139
111	0.5384694206
112	0.5377971944
113	0.5371845362
114	0.5364085317
115	0.5352540632
116	0.5343947854
117	0.5337449256
118	0.5329833061
119	0.5321779285
120	0.5313828108
121	0.5304192558
122	0.5292050425
123	0.5283841317
124	0.5274564061
125	0.5262308362
126	0.5250304153
127	0.524285489
128	0.5233776193
129	0.5220475758
130	0.5213186441
131	0.5203802054
132	0.5195421547
133	0.5183815868
134	0.5172760815
135	0.5163551142
136	0.515431838
137	0.5145482363
138	0.5136335834
139	0.5130146125
140	0.5121832203
141	0.5114141904
142	0.5106125931
143	0.5099258855
144	0.5089919883
145	0.5084101853
146	0.507762317
147	0.5070858844
148	0.5063021797
149	0.5057758821
150	0.5052827123
151	0.5048733729
152	0.5040397296
153	0.503009387
154	0.5023996228
155	0.5016587941
156	0.5010762587
157	0.5006125561
158	0.5000990299
159	0.4989276383
160	0.4979651117
161	0.4973027823
162	0.4964292482
163	0.4954100248
164	0.494254336
165	0.4936930973
166	0.4928000233
167	0.4917662051
168	0.4911786179
169	0.4904262811
170	0.4894207027
171	0.4888467619
172	0.4880087503
173	0.4873896571
174	0.4867666103
175	0.4858367508
176	0.4850374325
177	0.4841896681
178	0.4834176151
179	0.482754117
180	0.4820665803
181	0.481273738
182	0.4807542001
183	0.4802041101
184	0.4793161075
185	0.4785100812
186	0.4777867931
187	0.4771076011
188	0.4765723935
189	0.475923643
190	0.475359211
191	0.4749803483
192	0.4742002047
193	0.47370016
194	0.4729193453
195	0.4722137789
196	0.4714802774
197	0.4708019199
198	0.4698289226
199	0.4689136443
200	0.4682416683
201	0.4675324819
202	0.4667276899
203	0.4660273896
204	0.4652633187
205	0.4646765089
206	0.463792085
207	0.4631249101
208	0.4625942053
209	0.4619684622
210	0.4612788329
211	0.4607496021
212	0.4598510254
213	0.4590283301
214	0.4584860593
215	0.4576519212
216	0.4572804093
217	0.4569974363
218	0.4557999922
219	0.4548933785
220	0.4542430615
221	0.453260499
222	0.4525305501
223	0.4521042656
224	0.4514492436
225	0.4510478155
226	0.4506589654
227	0.4498141057
228	0.448938083
229	0.448346654
230	0.4477475338
231	0.4470471946
232	0.4461819434
233	0.4456361509
234	0.4451485565
235	0.4440419437
236	0.443554897
237	0.4428067492
238	0.442399483
239	0.4414921312
240	0.4404213205
241	0.4399659015
242	0.4394877931
243	0.4385424301
244	0.4377409634
245	0.4371633284
246	0.4362452197
247	0.4358541904
248	0.4352952772
249	0.4345050868
250	0.4341890082
251	0.4336398135
252	0.4331754295
253	0.4327726005
254	0.4323257235
255	0.4316455701
256	0.4311280428
257	0.4305609648
258	0.4300443598
259	0.4294641892
260	0.4286465895
261	0.4283435196
262	0.4275117443
263	0.4270488502
264	0.4266585406
265	0.4259497706
266	0.4251369561
267	0.4244384434
268	0.423762717
269	0.4227679305
270	0.4219990905
271	0.4216436931
272	0.4207941393
273	0.420248565
274	0.4197722629
275	0.4192663794
276	0.4186672789
277	0.4181841796
278	0.4176679642
279	0.4172776536
280	0.4165415663
281	0.4159450518
282	0.4155967267
283	0.415069371
284	0.4145936309
285	0.4139903623
286	0.4133650312
287	0.4123286973
288	0.4118530157
289	0.4115301885
290	0.4111157778
291	0.4105008471
292	0.4100341617
293	0.409531484
294	0.4091363865
295	0.4084092225
296	0.4080510491
297	0.4073069808
298	0.4068732725
299	0.4063905832
300	0.4059337201
301	0.4055604468
302	0.4052542466
303	0.4049897506
304	0.4043916191
305	0.4041111327
306	0.4038807054
307	0.4033579272
308	0.4030210835
309	0.4022817282
310	0.4019833674
311	0.4013556746
312	0.4006355416
313	0.4000697758
