iter	Passed	Remaining
0	17	17025
1	25	12650
2	33	11091
3	41	10252
4	49	9766
5	57	9451
6	65	9236
7	72	9047
8	81	9023
9	89	8894
10	98	8884
11	109	8979
12	117	8914
13	125	8821
14	133	8757
15	141	8678
16	149	8623
17	156	8560
18	164	8510
19	172	8465
20	181	8449
21	188	8396
22	196	8365
23	204	8323
24	212	8293
25	220	8254
26	227	8214
27	236	8196
28	244	8184
29	253	8180
30	261	8160
31	269	8157
32	277	8140
33	286	8135
34	294	8115
35	302	8101
36	310	8075
37	318	8066
38	326	8044
39	335	8043
40	343	8025
41	351	8015
42	360	8012
43	368	7996
44	375	7976
45	384	7964
46	391	7944
47	399	7932
48	407	7915
49	415	7902
50	423	7885
51	431	7873
52	439	7857
53	447	7844
54	455	7828
55	464	7831
56	473	7834
57	481	7825
58	489	7814
59	498	7805
60	506	7793
61	514	7787
62	522	7775
63	531	7768
64	539	7760
65	548	7756
66	556	7747
67	564	7738
68	572	7729
69	581	7725
70	589	7715
71	598	7709
72	606	7704
73	615	7695
74	624	7696
75	632	7684
76	639	7670
77	648	7660
78	656	7652
79	664	7644
80	672	7634
81	681	7624
82	689	7620
83	698	7616
84	707	7618
85	717	7621
86	725	7615
87	735	7617
88	745	7632
89	754	7625
90	762	7620
91	771	7612
92	779	7605
93	788	7598
94	797	7601
95	806	7597
96	816	7599
97	825	7595
98	833	7586
99	842	7585
100	852	7586
101	861	7581
102	869	7571
103	878	7566
104	887	7563
105	896	7563
106	905	7561
107	914	7556
108	924	7555
109	933	7550
110	942	7544
111	950	7537
112	958	7526
113	967	7517
114	976	7514
115	986	7518
116	994	7508
117	1003	7498
118	1011	7490
119	1020	7482
120	1028	7471
121	1036	7458
122	1045	7451
123	1052	7438
124	1061	7428
125	1069	7419
126	1077	7410
127	1086	7399
128	1094	7392
129	1103	7384
130	1111	7375
131	1120	7367
132	1129	7359
133	1136	7346
134	1144	7335
135	1152	7322
136	1160	7311
137	1168	7298
138	1176	7289
139	1184	7276
140	1192	7265
141	1200	7251
142	1207	7239
143	1215	7226
144	1223	7215
145	1231	7203
146	1239	7192
147	1247	7179
148	1255	7168
149	1262	7156
150	1270	7145
151	1278	7133
152	1286	7123
153	1294	7111
154	1302	7100
155	1310	7088
156	1319	7087
157	1328	7077
158	1336	7069
159	1344	7058
160	1353	7050
161	1360	7039
162	1368	7029
163	1376	7017
164	1384	7007
165	1392	6995
166	1400	6985
