,mean,std
close,0.0013545538536855533,2.0166598766201588e-05
volume,0.001125836081054618,1.429319131234028e-05
ADX5,0.0007630760730609443,
ADX30,,
ADX60,0.0006909476765442417,
ADX480,,
ADX960,0.0011142647467869632,2.7563205587283414e-05
ADX2400,0.001074071365095692,2.15244729411656e-05
ADX4800,,
ADXR5,0.0010667012605494078,
ADXR30,,
ADXR60,,
ADXR480,0.0008829708083436521,3.264513231154576e-06
ADXR960,0.0009139143362118113,5.965246533307809e-06
ADXR2400,0.001037089390883123,1.7093853023439286e-05
AROONOSC5,0.009087211729702834,0.00027559728928377894
AROONOSC30,0.009447287014310524,0.00031099831777855216
AROONOSC60,0.00604714139420768,0.0002570840779397173
AROONOSC480,0.0009361295353640298,1.1797361188506459e-05
AROONOSC960,0.0006438927928284508,
AROONOSC2400,0.0005958820032621984,7.015903112849275e-06
AROONOSC4800,0.0009293466377476217,
AROONOSC9600,0.0015589841732400063,
BOP5,0.007484821111061321,0.0003235945002660808
BOP30,0.005872373733355585,0.00029278415336552794
BOP60,0.005911403623253412,0.0002602849417977798
BOP480,0.007303912732712759,0.00031820893292387585
BOP960,0.005158101040375831,0.00027923220350078374
BOP2400,0.00644430029357221,0.0002672085996479482
BOP4800,0.007605843837843549,0.00030111405364731923
BOP9600,0.006690329209344227,0.00028656955977459866
CMO5,0.010673743058435057,0.00035173866171731054
CMO30,0.007529911375356771,0.00035992654679681187
CMO60,0.009595073476395755,0.0003518284784378602
CMO480,0.0036554741476896944,9.815635355453924e-05
CMO960,0.000886803420963159,
CMO2400,0.0009114199246768458,
CMO4800,0.0019449481331709232,6.626566463062726e-05
CMO9600,0.002138810824622336,7.97701773147394e-05
DX5,0.001394824352720616,1.3980879446270729e-05
DX30,0.0008351376495764776,2.7472024583762022e-05
DX60,0.0014702058125300118,2.114737236663726e-05
DX480,0.0013027935724327358,
DX960,0.000509178946295772,
DX2400,,
DX4800,,
DX9600,,
MFI5,0.009007981519765621,0.0003178476947027048
MFI30,0.008157628116855364,0.0002586127555738189
MFI60,0.0016044745567100147,
MFI480,,
MFI960,,
MFI2400,0.0011333213049194834,
MFI4800,,
MFI9600,0.0003883277312354548,
MINUS_DM5,0.004248642591152751,0.00019504736054457388
MINUS_DM30,0.004240225461189687,0.00021477997103516505
MINUS_DM60,0.0015978880617553758,1.7278414396611294e-05
MINUS_DM480,0.0009710520041751489,
MINUS_DM960,0.00043991437955561417,
MINUS_DM2400,,
MINUS_DM4800,,
MINUS_DM9600,0.002390192062685078,9.69386959693531e-05
MOM5,0.00937526144658725,0.0003596721621325626
MOM30,0.007022189365116682,0.0003270211898383818
MOM60,0.00577147879028866,0.00028026149792974666
MOM480,0.0027212915611617293,1.9277541452927838e-05
MOM960,0.0009417171809712268,
MOM2400,0.0015943214273610464,2.198984474839307e-05
MOM4800,0.0010594240179198251,2.2428972771706912e-05
MOM9600,0.0009661829024241576,1.328988041638893e-05
ROC5,0.012201833860168557,0.0003592964981672924
ROC30,0.009338164052649402,0.000363528990007077
ROC60,0.007313455176949937,0.0003693539401355373
ROC480,0.0025447969607018824,2.2907348147836155e-05
ROC960,0.0017047472290318598,6.486971753594435e-05
ROC2400,0.001225937037660795,1.761566683485777e-05
ROC4800,0.0016686134749579684,
ROC9600,0.001696320804342007,2.3958303829004592e-05
RSI5,0.01194324232736739,0.0003534285666602111
RSI30,0.012394982915857253,0.0003598763025295279
