,mean,std
close,0.002037453941903667,2.7944887596002677e-05
volume,0.001374427460474245,1.9797878706121527e-05
ADX5,0.0013169878137669613,
ADX30,0.0015110247772303182,1.1051545271892078e-05
ADX60,0.0009956490409960413,
ADX480,0.001222308560441323,8.379298410657754e-06
ADX960,0.0016241328196835482,2.4166139965872245e-05
ADX2400,0.001338347159678318,2.1211108421946392e-05
ADX4800,0.0013069590794687852,1.7493433837336895e-05
ADXR5,0.0011100839541179526,1.6875074969999505e-05
ADXR30,0.0012052815476830524,1.3152232673895378e-05
ADXR60,,
ADXR480,0.0014612327143880162,2.7872027239547237e-05
ADXR960,0.0019139922034574596,3.8802094066092344e-05
ADXR2400,0.0014121086842852912,3.398024107540493e-05
AROONOSC5,0.012987991744771579,0.0005285874207663904
AROONOSC30,0.010538623290301639,0.0005162596746215243
AROONOSC60,0.0034183277637446826,0.0002454791781042648
AROONOSC480,0.0013682380467444964,3.5803187289901276e-05
AROONOSC960,0.0011697914996426587,
AROONOSC2400,0.0009091686498347929,1.0874819393454088e-05
AROONOSC4800,0.0011052969123340106,1.6343317068503603e-05
AROONOSC9600,0.0011562201926845633,
BOP5,0.0034902920846661594,0.0002096889054250466
BOP30,0.0030493164781809747,0.00013837227297961753
BOP60,0.0045870339398889895,0.00026184422636115547
BOP480,0.0038993175322351607,0.0001969400009793432
BOP960,0.0038353744032646594,0.00023009034474365248
BOP2400,0.004964639396069259,0.00028385738559751013
BOP4800,0.00538422436058203,0.00031896481029759874
BOP9600,0.004597624732305603,0.00027075822095540313
CMO5,0.012676278659569818,0.0005567337029721513
CMO30,0.00894413444086201,0.0004773967945615089
CMO60,0.006087712091750059,0.00036729042257152106
CMO480,0.0011428067565826296,1.5436327661870973e-05
CMO960,0.0013863421185943503,3.446819975336216e-05
CMO2400,0.002900485483058557,1.7336668055860558e-05
CMO4800,0.0016033183137136749,3.626196983854922e-05
CMO9600,0.0019186646604751733,3.9361371775290395e-05
DX5,0.0016299383295030265,4.955762620749123e-05
DX30,0.0020179441479906304,4.9117300008741026e-05
DX60,0.0016985280043434582,2.6789667943403533e-05
DX480,,
DX960,0.0011523108930273469,
DX2400,0.0010413882799335341,1.3533434894850621e-05
DX4800,0.0003746517602078811,
DX9600,0.000997060051277153,2.201534875749329e-06
MFI5,0.011278648841869526,0.00044335561010467537
MFI30,0.002623537773871378,0.00020857377290703203
MFI60,0.0022709346415451556,0.00011139975821145355
MFI480,0.001137381575530249,3.33261114572174e-05
MFI960,0.001259370132567072,2.3801949412870978e-05
MFI2400,0.0005657912182764571,1.2521038495221517e-05
MFI4800,0.0003713901191819374,
MFI9600,0.0007385778317046305,
MINUS_DM5,0.004981374855944177,0.0002518362288804785
MINUS_DM30,0.001977074520256837,3.393869350834479e-05
MINUS_DM60,0.0016518583430338838,2.7036998024199047e-05
MINUS_DM480,0.0014074917626313004,1.9859617090905512e-05
MINUS_DM960,0.0009572115784444446,1.4525940547204052e-05
MINUS_DM2400,0.0015005103885678136,2.666779061766239e-05
MINUS_DM4800,0.0010362883894284645,1.0732338796100178e-05
MINUS_DM9600,0.0008342226597692144,1.3795258751700677e-05
