,col_name,feature_importance_vals
226,momentum1,59.30161722688408
31,CMO5,57.94182795048767
71,ROC5,57.0997901874572
79,RSI5,53.90949117668794
229,momentum4,53.00303818852317
198,MACDHIST,50.57217326731528
87,TRIX5,49.51166929236373
228,momentum3,47.63430967946176
165,STOCHRSI_5_fastk,47.60542708397149
171,STOCHRSI_480_fastk,45.280922281486816
213,fastk_20,44.80617497706959
227,momentum2,42.45559411251822
94,WILLR30,42.12263994338558
177,STOCHRSI_4800_fastk,41.642685403304014
179,STOCHRSI_9600_fastk,40.84949850558882
141,LINEARREG_SLOPE5,40.71652615039975
169,STOCHRSI_60_fastk,40.38947026915414
187,ULTOSC,38.92846850183085
152,AROON_30_aroonup,37.91706648439686
167,STOCHRSI_30_fastk,36.10161971537764
32,CMO30,34.79560800776701
196,MACD,33.57500822678034
64,MOM30,33.398229501105995
173,STOCHRSI_960_fastk,32.775522895258604
15,AROONOSC5,32.01068449843606
80,RSI30,31.275893200743518
81,RSI60,31.03655309553116
133,LINEARREG_ANGLE5,30.336488193850798
95,WILLR60,30.29187253661618
33,CMO60,30.102978855059764
63,MOM5,28.59455176733253
16,AROONOSC30,27.503860975778352
190,APO,25.944396958171957
150,AROON_5_aroonup,25.377633100198985
154,AROON_60_aroonup,25.37050063117074
28,BOP2400,25.11403727967118
175,STOCHRSI_2400_fastk,24.992084221812203
174,STOCHRSI_960_fastd,22.549979695316548
168,STOCHRSI_30_fastd,22.338828942555423
72,ROC30,22.02446663196628
180,STOCHRSI_9600_fastd,21.26747928310975
29,BOP4800,21.20129728240281
23,BOP5,21.07933384474134
219,slowk,20.28254058175674
151,AROON_30_aroondown,20.097688156286527
251,tick_rule,19.87449710205997
93,WILLR5,19.627478980529734
24,BOP30,19.25442510204859
30,BOP9600,18.455555166038284
188,SAREXT,17.93363000983592
201,MACDHIST_24,17.844682916546507
26,BOP480,17.161831840755355
25,BOP60,16.861514332853023
27,BOP960,16.423751991505828
153,AROON_60_aroondown,15.089975497451151
170,STOCHRSI_60_fastd,14.805343554456256
176,STOCHRSI_2400_fastd,14.536363580871125
197,MACDSIGNAL,13.773517250463708
17,AROONOSC60,13.73013294870889
178,STOCHRSI_4800_fastd,13.394927591265205
172,STOCHRSI_480_fastd,13.23530779905687
65,MOM60,12.584940216056026
142,LINEARREG_SLOPE30,12.336878210814161
224,close_open,11.96777954549441
55,MINUS_DM5,11.499058655340182
149,AROON_5_aroondown,10.614360460876192
56,MINUS_DM30,10.595575177307166
195,ADOSC,10.548046465773355
214,fastd_20,9.451969027750584
48,MFI30,8.987263559229762
134,LINEARREG_ANGLE30,8.899923036462466
184,HT_DCPHASE,8.356626626746806
220,slowd,7.899034129596342
73,ROC60,7.315584001709971
47,MFI5,7.258666565695494
143,LINEARREG_SLOPE60,6.045729893384174
212,fastd,5.877286482278336
191,APO_1,5.363721588759376
166,STOCHRSI_5_fastd,5.357603801953897
96,WILLR480,5.245404909259171
211,leadsine,4.914197214332196
236,skew_30,4.617514135302419
57,MINUS_DM60,4.558592615575128
204,MACDHIST_48,4.483654038937081
247,bekker_parkinson_vol,4.06561137913551
97,WILLR960,3.921777767574983
237,skew_15,3.9100095810397986
208,inphase,3.8085877232087246
199,MACD_24,3.5999366573573592
205,MACD_200,3.5821344807352244
135,LINEARREG_ANGLE60,3.519736298708252
206,MACDSIGNAL_200,3.42156114086657
239,skew_5,3.2301580046085823
222,slowd_30,3.222375513886598
235,skew_60,3.166289410074368
0,close,3.146749411034414
194,APO_4,3.0671037830408663
215,fastk_200,3.003201944567721
88,TRIX30,2.832721304837609
221,slowk_30,2.7976991866681264
186,TRANGE,2.7527003246253545
238,skew_10,2.749504456408708
155,AROON_480_aroondown,2.742464750280419
139,LINEARREG_ANGLE4800,2.72973063000331
99,WILLR4800,2.609139900599193
216,fastd_200,2.595640530575681
34,CMO480,2.399266390138726
38,CMO9600,2.364439248369049
91,TRIX960,2.359324046692202
41,DX60,2.3076419074387
182,OBV,2.3031391084698454
210,sine,2.2505767748876435
37,CMO4800,2.229147848729111
120,BETA480,2.213117924834587
203,MACDSIGNAL_48,2.151056557945988
82,RSI480,2.1394648574705446
147,LINEARREG_SLOPE4800,2.0937970711428346
146,LINEARREG_SLOPE2400,2.0641034356352304
83,RSI960,2.018123833849912
7,ADX2400,2.0135523525246803
118,BETA30,1.9810506409516184
254,low_vix,1.9752247302300703
225,close_ath,1.9595599540956437
12,ADXR480,1.910310983370474
113,NATR960,1.9099934084717183
200,MACDSIGNAL_24,1.903586133098767
252,open_vix,1.8717726318828949
157,AROON_960_aroondown,1.84914265211308
66,MOM480,1.8360707271057608
234,volatility_5,1.808413025441449
189,SAREXT_rand,1.784058584009201
78,ROC9600,1.734353969773455
70,MOM9600,1.7225694348701106
207,MACDHIST_200,1.6729897831940166
144,LINEARREG_SLOPE480,1.6538016558080828
86,RSI9600,1.6273401937545413
145,LINEARREG_SLOPE960,1.619388258250007
218,fastd_3600,1.6065301902847913
116,NATR9600,1.5646437669953777
123,BETA4800,1.5171379819686965
92,TRIX2400,1.4817725867466107
108,ATR9600,1.4703204909163694
39,DX5,1.4517639151963155
69,MOM4800,1.4271798553550685
136,LINEARREG_ANGLE480,1.4192358040967734
74,ROC480,1.4176666581470112
62,MINUS_DM9600,1.408307509603
253,high_vix,1.3598737578218956
98,WILLR2400,1.35427817447485
100,WILLR9600,1.3302566593823075
14,ADXR2400,1.3269614860138066
156,AROON_480_aroonup,1.2747096951811272
137,LINEARREG_ANGLE960,1.2623148562891802
223,high_low,1.194042770011034
89,TRIX60,1.189914301206018
76,ROC2400,1.1748904723353475
160,AROON_2400_aroonup,1.1490819924891553
20,AROONOSC2400,1.0894441288897647
117,BETA5,1.0766059362969738
40,DX30,1.06700179355828
75,ROC960,1.0489736285766684
52,MFI2400,1.0293739733431644
42,DX480,1.0212383453411262
202,MACD_48,1.0075366871397524
84,RSI2400,1.0022217254111654
1,volume,1.0006450354213945
