,col_name,feature_importance_vals
213,fastk_20,91.55365917405803
79,RSI5,91.40123400964582
63,MOM5,82.17581732350625
227,momentum2,81.8519803526984
71,ROC5,81.73789862444039
229,momentum4,73.94878289650813
175,STOCHRSI_2400_fastk,73.1727263487159
141,LINEARREG_SLOPE5,66.62828384743263
87,TRIX5,65.03222029119215
228,momentum3,63.06985876118784
31,CMO5,58.808224881260536
133,LINEARREG_ANGLE5,57.671171381310764
177,STOCHRSI_4800_fastk,57.270960607186026
167,STOCHRSI_30_fastk,54.733851072492946
94,WILLR30,54.65861151430134
226,momentum1,53.8556922947314
179,STOCHRSI_9600_fastk,52.31136880976479
93,WILLR5,50.50974965203946
95,WILLR60,47.38770076042919
198,MACDHIST,46.68583009083441
173,STOCHRSI_960_fastk,46.35368005256176
171,STOCHRSI_480_fastk,45.12149370748663
188,SAREXT,43.340113839719265
251,tick_rule,42.74132216740911
80,RSI30,42.43564774613828
72,ROC30,39.772593523287725
169,STOCHRSI_60_fastk,35.65956357493278
81,RSI60,34.939922256104296
33,CMO60,34.25967967816933
15,AROONOSC5,32.06176015855071
64,MOM30,30.608412583942982
165,STOCHRSI_5_fastk,30.257229918138574
32,CMO30,29.65421900861488
196,MACD,29.61737676009206
29,BOP4800,23.63243795060351
201,MACDHIST_24,23.327877046328865
30,BOP9600,22.203165031593866
26,BOP480,19.61437630174296
28,BOP2400,19.21824000254929
134,LINEARREG_ANGLE30,19.10165596136833
190,APO,18.583092633224876
151,AROON_30_aroondown,18.389440729057856
25,BOP60,18.3413308321907
152,AROON_30_aroonup,17.119072599828293
27,BOP960,15.889495782608035
204,MACDHIST_48,15.755911828250417
187,ULTOSC,15.195608419957523
55,MINUS_DM5,15.175407959522712
24,BOP30,14.73219725582813
23,BOP5,14.618507487851119
144,LINEARREG_SLOPE480,13.444968241990056
16,AROONOSC30,13.2806509415877
197,MACDSIGNAL,12.898194927474162
142,LINEARREG_SLOPE30,12.696627432776792
184,HT_DCPHASE,12.294764020366603
224,close_open,11.120924121328441
149,AROON_5_aroondown,10.814667314356251
65,MOM60,10.420652307900376
73,ROC60,9.583848350262809
91,TRIX960,9.413415651403117
0,close,9.093303654534274
176,STOCHRSI_2400_fastd,9.009893990339258
194,APO_4,8.97354406744453
150,AROON_5_aroonup,8.501077078664402
205,MACD_200,8.221327130165438
182,OBV,8.152475504429363
56,MINUS_DM30,8.075810850527771
117,BETA5,8.007615494453793
178,STOCHRSI_4800_fastd,7.932565832048384
136,LINEARREG_ANGLE480,7.84591651896221
47,MFI5,7.487245889480838
118,BETA30,7.238349482706625
206,MACDSIGNAL_200,7.130063077741681
