,col_name,feature_importance_vals
173,STOCHRSI_960_fastk,84.99507456757377
63,MOM5,78.6222555464566
179,STOCHRSI_9600_fastk,65.94365346331873
226,momentum1,64.40026168781458
169,STOCHRSI_60_fastk,55.88765026561117
228,momentum3,51.369135671535616
171,STOCHRSI_480_fastk,49.405708131399564
175,STOCHRSI_2400_fastk,48.43766737218569
167,STOCHRSI_30_fastk,48.231648874817914
79,RSI5,47.99451545891098
213,fastk_20,47.193306538190384
177,STOCHRSI_4800_fastk,45.08194162860347
227,momentum2,43.97151585627823
80,RSI30,43.864904614126004
71,ROC5,43.80854844635342
251,tick_rule,42.72839987836322
187,ULTOSC,41.9221989749169
94,WILLR30,38.68643404514607
165,STOCHRSI_5_fastk,36.78004805513888
141,LINEARREG_SLOPE5,35.90112825543117
32,CMO30,33.72721825217665
87,TRIX5,33.18633240999096
72,ROC30,32.99783925584831
33,CMO60,32.23298518378974
64,MOM30,32.063988397210046
95,WILLR60,30.364109199776266
151,AROON_30_aroondown,30.054691025238576
196,MACD,29.19844820961116
25,BOP60,28.59099841405403
190,APO,28.191724348833024
133,LINEARREG_ANGLE5,27.936641398208263
219,slowk,25.876462275287896
229,momentum4,25.733881122342275
188,SAREXT,25.189904308080447
81,RSI60,24.20955797286562
24,BOP30,23.306019313348987
198,MACDHIST,22.71296407165691
150,AROON_5_aroonup,22.27957922149104
93,WILLR5,22.1610865245102
31,CMO5,22.149676935461358
152,AROON_30_aroonup,21.823408107804315
55,MINUS_DM5,20.891259427818902
201,MACDHIST_24,20.169224679182825
30,BOP9600,19.7708307943669
149,AROON_5_aroondown,19.01785255829864
142,LINEARREG_SLOPE30,18.864684680926075
176,STOCHRSI_2400_fastd,17.394965901328355
26,BOP480,17.279241875762082
224,close_open,17.026233765174602
23,BOP5,15.742732996661392
16,AROONOSC30,15.665088666410545
15,AROONOSC5,15.579254231410593
178,STOCHRSI_4800_fastd,15.47695999637998
180,STOCHRSI_9600_fastd,15.343101785902483
28,BOP2400,14.82296013475771
212,fastd,13.848984689309777
29,BOP4800,13.626706704081572
65,MOM60,13.236446040556878
73,ROC60,12.937498405077246
235,skew_60,11.803799244414652
168,STOCHRSI_30_fastd,11.54984661799462
134,LINEARREG_ANGLE30,11.3820412335386
17,AROONOSC60,11.159037867793138
204,MACDHIST_48,10.257302532452435
172,STOCHRSI_480_fastd,10.160040131080864
215,fastk_200,10.120652272852961
174,STOCHRSI_960_fastd,9.975628216469477
47,MFI5,9.33355892204904
49,MFI60,9.257768204948544
211,leadsine,8.847856232900824
27,BOP960,8.805327428604095
154,AROON_60_aroonup,8.516652295342618
184,HT_DCPHASE,8.13418596037344
197,MACDSIGNAL,8.028823876172794
220,slowd,6.76376231985345
236,skew_30,6.698839093624107
208,inphase,6.313834059588793
153,AROON_60_aroondown,6.122354896060832
48,MFI30,5.939508997737774
166,STOCHRSI_5_fastd,5.6667860467400315
222,slowd_30,5.548837943556377
99,WILLR4800,5.203389781708192
191,APO_1,5.180413921400002
41,DX60,4.625039276381068
135,LINEARREG_ANGLE60,4.313891536222991
56,MINUS_DM30,4.153785983775941
206,MACDSIGNAL_200,4.015884348646047
237,skew_15,3.7579758978776914
144,LINEARREG_SLOPE480,3.6095033121081217
0,close,3.4085889277483985
199,MACD_24,3.3891272994214576
182,OBV,3.1772621147487086
195,ADOSC,3.138799143598932
221,slowk_30,3.0859037703378265
84,RSI2400,3.0233176797330152
40,DX30,3.0037001877828455
91,TRIX960,2.9102060809522547
205,MACD_200,2.8067071129915764
117,BETA5,2.785208468127283
238,skew_10,2.6382334359383197
96,WILLR480,2.6193279656340693
34,CMO480,2.5840804781644446
82,RSI480,2.583388300726246
170,STOCHRSI_60_fastd,2.5141039242362
77,ROC4800,2.466982817028901
88,TRIX30,2.440878496726806
214,fastd_20,2.3539836172049347
254,low_vix,2.330389269243377
124,BETA9600,2.287101044552607
1,volume,2.248480568952837
252,open_vix,2.1331763257385057
200,MACDSIGNAL_24,2.1068682268246284
89,TRIX60,2.0451786023339693
253,high_vix,1.9941446894095762
118,BETA30,1.9938680970087252
155,AROON_480_aroondown,1.9361378848665418
156,AROON_480_aroonup,1.9166522957794003
100,WILLR9600,1.8767682457403383
35,CMO960,1.8283331832187089
210,sine,1.788887958996939
186,TRANGE,1.7634662808809203
193,APO_3,1.7449387487865156
7,ADX2400,1.7179783124457277
36,CMO2400,1.6899572213522038
138,LINEARREG_ANGLE2400,1.689293929321862
136,LINEARREG_ANGLE480,1.6558612243600028
38,CMO9600,1.6503800160526607
245,roll_measure,1.6281374205446175
69,MOM4800,1.6215760997615367
125,CORREL5,1.588035839845156
97,WILLR960,1.5658460456926255
78,ROC9600,1.4905518606927264
90,TRIX480,1.486314196712795
18,AROONOSC480,1.4859193334084724
223,high_low,1.45827885069373
157,AROON_960_aroondown,1.4443078972049945
68,MOM2400,1.4005610371100683
13,ADXR960,1.396781423542894
119,BETA60,1.3965790683103905
120,BETA480,1.3878650792705174
9,ADXR5,1.3835989871698726
247,bekker_parkinson_vol,1.3654984549431033
130,CORREL2400,1.3478742949021651
243,kurtosis_10,1.3134006739927546
6,ADX960,1.284720888376228
37,CMO4800,1.28438469156686
108,ATR9600,1.280668059103042
86,RSI9600,1.2020569986622878
145,LINEARREG_SLOPE960,1.1982699901299438
92,TRIX2400,1.136118148486261
216,fastd_200,1.118035273184123
2,ADX5,1.1154638222282742
164,AROON_9600_aroonup,1.1143405179311137
127,CORREL60,1.1142652100459844
189,SAREXT_rand,1.0763562146627734
160,AROON_2400_aroonup,1.0750236977985568
143,LINEARREG_SLOPE60,1.0709660054254992
5,ADX480,1.061037902049889
83,RSI960,1.0552378205068143
244,kurtosis_5,0.997162653001887
113,NATR960,0.9755672176985218
14,ADXR2400,0.9701263057233023
255,close_vix,0.9651940291508643
98,WILLR2400,0.9433242873192433
239,skew_5,0.9220368965045725
241,kurtosis_30,0.9214862549575376
115,NATR4800,0.9146381491860658
183,HT_DCPERIOD,0.9138179636794463
19,AROONOSC960,0.8946937510185239
8,ADX4800,0.8926506481634872
12,ADXR480,0.8891493926388291
85,RSI4800,0.8827618615503169
132,CORREL9600,0.8773496727783344
20,AROONOSC2400,0.8760700587493526
43,DX960,0.8609287011274864
217,fastk_3600,0.8494557447482364
107,ATR4800,0.8399414089946825
126,CORREL30,0.8167376682622298
57,MINUS_DM60,0.8022643667070396
181,AD,0.7819858145917045
58,MINUS_DM480,0.7625778651337646
67,MOM960,0.7396275015084667
242,kurtosis_15,0.7345178642473033
39,DX5,0.7293896524963028
137,LINEARREG_ANGLE960,0.7245549502697272
110,NATR30,0.717901607782469
202,MACD_48,0.6901476868430925
225,close_ath,0.6831446362431152
194,APO_4,0.6791709996962866
123,BETA4800,0.6729593960549365
76,ROC2400,0.65513293921196
146,LINEARREG_SLOPE2400,0.6351533022557555
203,MACDSIGNAL_48,0.6239942793021818
74,ROC480,0.6181133047966658
128,CORREL480,0.5955617352709052
116,NATR9600,0.5914462063454434
207,MACDHIST_200,0.5792568105298044
131,CORREL4800,0.566298076859913
61,MINUS_DM4800,0.5659080918030339
70,MOM9600,0.542893251344259
230,volatility_60,0.5427647514634566
147,LINEARREG_SLOPE4800,0.5253822764205415
101,ATR5,0.483034914007771
114,NATR2400,0.46157559778133794
3,ADX30,0.44703283203495536
161,AROON_4800_aroondown,0.4211247100285197
11,ADXR60,0.4207502837234361
234,volatility_5,0.4192654224385351
158,AROON_960_aroonup,0.40285240205801515
121,BETA960,0.35190582291370737
75,ROC960,0.3487652444384121
218,fastd_3600,0.33459088079303206
45,DX4800,0.32816144336037645
60,MINUS_DM2400,0.3170186029563511
139,LINEARREG_ANGLE4800,0.30589319912675067
54,MFI9600,0.25724897393095775
233,volatility_10,0.24628772000500637
240,kurtosis_60,0.0
256,volume_vix,0.0
249,amihud_lambda,0.0
232,volatility_15,0.0
246,corwin_schultz_est,0.0
231,volatility_30,0.0
250,hasbrouck_lambda,0.0
248,kyle_lambda,0.0
129,CORREL960,0.0
209,quadrature,0.0
192,APO_2,0.0
4,ADX60,0.0
10,ADXR30,0.0
21,AROONOSC4800,0.0
22,AROONOSC9600,0.0
42,DX480,0.0
44,DX2400,0.0
46,DX9600,0.0
50,MFI480,0.0
51,MFI960,0.0
52,MFI2400,0.0
53,MFI4800,0.0
59,MINUS_DM960,0.0
62,MINUS_DM9600,0.0
66,MOM480,0.0
102,ATR30,0.0
103,ATR60,0.0
104,ATR480,0.0
105,ATR960,0.0
106,ATR2400,0.0
109,NATR5,0.0
111,NATR60,0.0
112,NATR480,0.0
122,BETA2400,0.0
140,LINEARREG_ANGLE9600,0.0
148,LINEARREG_SLOPE9600,0.0
159,AROON_2400_aroondown,0.0
162,AROON_4800_aroonup,0.0
163,AROON_9600_aroondown,0.0
185,HT_TRENDMODE,0.0
257,chow_segment,0.0
