,0
0,close
1,volume
2,ADX5
3,ADX30
4,ADX60
5,ADX480
6,ADX960
7,ADX2400
8,ADX4800
9,ADXR5
10,ADXR30
11,ADXR60
12,ADXR480
13,ADXR960
14,ADXR2400
15,AROONOSC5
16,AROONOSC30
17,AROONOSC60
18,AROONOSC480
19,AROONOSC960
20,AROONOSC2400
21,AROONOSC4800
22,AROONOSC9600
23,BOP5
24,BOP30
25,BOP60
26,BOP480
27,BOP960
28,BOP2400
29,BOP4800
30,BOP9600
31,CMO5
32,CMO30
33,CMO60
34,CMO480
35,CMO960
36,CMO2400
37,CMO4800
38,CMO9600
39,DX5
40,DX30
41,DX60
42,DX480
43,DX960
44,DX2400
45,DX4800
46,DX9600
47,MFI5
48,MFI30
49,MFI60
50,MFI480
51,MFI960
52,MFI2400
53,MFI4800
54,MFI9600
55,MINUS_DM5
56,MINUS_DM30
57,MINUS_DM60
58,MINUS_DM480
59,MINUS_DM960
60,MINUS_DM2400
61,MINUS_DM4800
62,MINUS_DM9600
63,MOM5
64,MOM30
65,MOM60
66,MOM480
67,MOM960
68,MOM2400
69,MOM4800
70,MOM9600
71,ROC5
72,ROC30
73,ROC60
74,ROC480
75,ROC960
76,ROC2400
77,ROC4800
78,ROC9600
79,RSI5
80,RSI30
81,RSI60
82,RSI480
83,RSI960
84,RSI2400
85,RSI4800
86,RSI9600
87,TRIX5
88,TRIX30
89,TRIX60
90,TRIX480
91,TRIX960
92,TRIX2400
93,WILLR5
94,WILLR30
95,WILLR60
96,WILLR480
97,WILLR960
98,WILLR2400
99,WILLR4800
100,WILLR9600
101,ATR5
102,ATR30
103,ATR60
104,ATR480
105,ATR960
106,ATR2400
107,ATR4800
108,ATR9600
109,NATR5
110,NATR30
111,NATR60
112,NATR480
113,NATR960
114,NATR2400
115,NATR4800
116,NATR9600
117,BETA5
118,BETA30
119,BETA60
120,BETA480
121,BETA960
122,BETA2400
123,BETA4800
124,BETA9600
125,CORREL5
126,CORREL30
127,CORREL60
128,CORREL480
129,CORREL960
130,CORREL2400
131,CORREL4800
132,CORREL9600
133,LINEARREG_ANGLE5
134,LINEARREG_ANGLE30
135,LINEARREG_ANGLE60
136,LINEARREG_ANGLE480
137,LINEARREG_ANGLE960
138,LINEARREG_ANGLE2400
139,LINEARREG_ANGLE4800
140,LINEARREG_ANGLE9600
141,LINEARREG_SLOPE5
142,LINEARREG_SLOPE30
143,LINEARREG_SLOPE60
144,LINEARREG_SLOPE480
145,LINEARREG_SLOPE960
146,LINEARREG_SLOPE2400
147,LINEARREG_SLOPE4800
148,LINEARREG_SLOPE9600
149,AROON_5_aroondown
150,AROON_5_aroonup
151,AROON_30_aroondown
152,AROON_30_aroonup
153,AROON_60_aroondown
154,AROON_60_aroonup
155,AROON_480_aroondown
156,AROON_480_aroonup
157,AROON_960_aroondown
158,AROON_960_aroonup
159,AROON_2400_aroondown
160,AROON_2400_aroonup
161,AROON_4800_aroondown
162,AROON_4800_aroonup
163,AROON_9600_aroondown
164,AROON_9600_aroonup
165,STOCHRSI_5_fastk
166,STOCHRSI_5_fastd
167,STOCHRSI_30_fastk
168,STOCHRSI_30_fastd
169,STOCHRSI_60_fastk
170,STOCHRSI_60_fastd
171,STOCHRSI_480_fastk
172,STOCHRSI_480_fastd
173,STOCHRSI_960_fastk
174,STOCHRSI_960_fastd
175,STOCHRSI_2400_fastk
176,STOCHRSI_2400_fastd
177,STOCHRSI_4800_fastk
178,STOCHRSI_4800_fastd
179,STOCHRSI_9600_fastk
180,STOCHRSI_9600_fastd
181,AD
182,OBV
183,HT_DCPERIOD
184,HT_DCPHASE
185,HT_TRENDMODE
186,TRANGE
187,ULTOSC
188,SAREXT
189,SAREXT_rand
190,APO
191,APO_1
192,APO_2
193,APO_3
194,APO_4
195,ADOSC
196,MACD
197,MACDSIGNAL
198,MACDHIST
199,MACD_24
200,MACDSIGNAL_24
201,MACDHIST_24
202,MACD_48
203,MACDSIGNAL_48
204,MACDHIST_48
205,MACD_200
206,MACDSIGNAL_200
207,MACDHIST_200
208,inphase
209,quadrature
210,sine
211,leadsine
212,fastd
213,fastk_20
214,fastd_20
215,fastk_200
216,fastd_200
217,fastk_3600
218,fastd_3600
219,slowk
220,slowd
221,slowk_30
222,slowd_30
223,high_low
224,close_open
225,close_ath
226,momentum1
227,momentum2
228,momentum3
229,momentum4
230,volatility_60
231,volatility_30
232,volatility_15
233,volatility_10
234,volatility_5
235,skew_60
236,skew_30
237,skew_15
238,skew_10
239,skew_5
240,kurtosis_60
241,kurtosis_30
242,kurtosis_15
243,kurtosis_10
244,kurtosis_5
245,roll_measure
246,corwin_schultz_est
247,bekker_parkinson_vol
248,kyle_lambda
249,amihud_lambda
250,hasbrouck_lambda
251,tick_rule
