,0
0,close
1,volume
2,DEMA5
3,DEMA30
4,DEMA60
5,DEMA300
6,DEMA480
7,DEMA2400
8,DEMA12000
9,EMA5
10,EMA30
11,EMA60
12,EMA300
13,EMA480
14,EMA2400
15,EMA12000
16,EMA96000
17,MIDPRICE5
18,MIDPRICE30
19,MIDPRICE60
20,MIDPRICE300
21,MIDPRICE480
22,MIDPRICE2400
23,MIDPRICE12000
24,MIDPRICE96000
25,SMA5
26,SMA30
27,SMA60
28,SMA300
29,SMA480
30,SMA2400
31,SMA12000
32,SMA96000
33,T35
34,T330
35,T360
36,T3300
37,T3480
38,T32400
39,T312000
40,TEMA5
41,TEMA30
42,TEMA60
43,TEMA300
44,TEMA480
45,TEMA2400
46,TEMA12000
47,TRIMA5
48,TRIMA30
49,TRIMA60
50,TRIMA300
51,TRIMA480
52,TRIMA2400
53,TRIMA12000
54,TRIMA96000
55,WMA5
56,WMA30
57,WMA60
58,WMA300
59,WMA480
60,WMA2400
61,WMA12000
62,WMA96000
63,ADX5
64,ADX30
65,ADX60
66,ADX300
67,ADX480
68,ADX2400
69,ADX12000
70,ADXR5
71,ADXR30
72,ADXR60
73,ADXR300
74,ADXR480
75,ADXR2400
76,ADXR12000
77,AROONOSC5
78,AROONOSC30
79,AROONOSC60
80,AROONOSC300
81,AROONOSC480
82,AROONOSC2400
83,AROONOSC12000
84,AROONOSC96000
85,BOP5
86,BOP30
87,BOP60
88,BOP300
89,BOP480
90,BOP2400
91,BOP12000
92,BOP96000
93,CMO5
94,CMO30
95,CMO60
96,CMO300
97,CMO480
98,CMO2400
99,CMO12000
100,CMO96000
101,DX5
102,DX30
103,DX60
104,DX300
105,DX480
106,DX2400
107,DX12000
108,DX96000
109,MFI5
110,MFI30
111,MFI60
112,MFI300
113,MFI480
114,MFI2400
115,MFI12000
116,MFI96000
117,MINUS_DM5
118,MINUS_DM30
119,MINUS_DM60
120,MINUS_DM300
121,MINUS_DM480
122,MINUS_DM2400
123,MINUS_DM12000
124,MINUS_DM96000
125,MOM5
126,MOM30
127,MOM60
128,MOM300
129,MOM480
130,MOM2400
131,MOM12000
132,MOM96000
133,ROC5
134,ROC30
135,ROC60
136,ROC300
137,ROC480
138,ROC2400
139,ROC12000
140,ROC96000
141,RSI5
142,RSI30
143,RSI60
144,RSI300
145,RSI480
146,RSI2400
147,RSI12000
148,RSI96000
149,TRIX5
150,TRIX30
151,TRIX60
152,TRIX300
153,TRIX480
154,TRIX2400
155,TRIX12000
156,WILLR5
157,WILLR30
158,WILLR60
159,WILLR300
160,WILLR480
161,WILLR2400
