,0
0,close
1,volume
2,vixVolume
3,DEMA5
4,DEMA30
5,DEMA60
6,DEMA300
7,DEMA480
8,DEMA2400
9,DEMA12000
10,EMA5
11,EMA30
12,EMA60
13,EMA300
14,EMA480
15,EMA2400
16,EMA12000
17,EMA96000
18,MIDPRICE5
19,MIDPRICE30
20,MIDPRICE60
21,MIDPRICE300
22,MIDPRICE480
23,MIDPRICE2400
24,MIDPRICE12000
25,MIDPRICE96000
26,SMA5
27,SMA30
28,SMA60
29,SMA300
30,SMA480
31,SMA2400
32,SMA12000
33,SMA96000
34,T35
35,T330
36,T360
37,T3300
38,T3480
39,T32400
40,T312000
41,TEMA5
42,TEMA30
43,TEMA60
44,TEMA300
45,TEMA480
46,TEMA2400
47,TEMA12000
48,TRIMA5
49,TRIMA30
50,TRIMA60
51,TRIMA300
52,TRIMA480
53,TRIMA2400
54,TRIMA12000
55,TRIMA96000
56,WMA5
57,WMA30
58,WMA60
59,WMA300
60,WMA480
61,WMA2400
62,WMA12000
63,WMA96000
64,ADX5
65,ADX30
66,ADX60
67,ADX300
68,ADX480
69,ADX2400
70,ADX12000
71,ADXR5
72,ADXR30
73,ADXR60
74,ADXR300
75,ADXR480
76,ADXR2400
77,ADXR12000
78,AROONOSC5
79,AROONOSC30
80,AROONOSC60
81,AROONOSC300
82,AROONOSC480
83,AROONOSC2400
84,AROONOSC12000
85,AROONOSC96000
86,BOP5
87,BOP30
88,BOP60
89,BOP300
90,BOP480
91,BOP2400
92,BOP12000
93,BOP96000
94,CMO5
95,CMO30
96,CMO60
97,CMO300
98,CMO480
99,CMO2400
100,CMO12000
101,CMO96000
102,DX5
103,DX30
104,DX60
105,DX300
106,DX480
107,DX2400
108,DX12000
109,DX96000
110,MFI5
111,MFI30
112,MFI60
113,MFI300
114,MFI480
115,MFI2400
116,MFI12000
117,MFI96000
118,MINUS_DM5
119,MINUS_DM30
120,MINUS_DM60
121,MINUS_DM300
122,MINUS_DM480
123,MINUS_DM2400
124,MINUS_DM12000
125,MINUS_DM96000
126,MOM5
127,MOM30
128,MOM60
129,MOM300
130,MOM480
131,MOM2400
132,MOM12000
133,MOM96000
134,ROC5
135,ROC30
136,ROC60
137,ROC300
138,ROC480
139,ROC2400
140,ROC12000
141,ROC96000
142,RSI5
143,RSI30
144,RSI60
145,RSI300
146,RSI480
147,RSI2400
148,RSI12000
149,RSI96000
150,TRIX5
151,TRIX30
152,TRIX60
153,TRIX300
154,TRIX480
155,TRIX2400
156,TRIX12000
157,WILLR5
158,WILLR30
159,WILLR60
160,WILLR300
161,WILLR480
