,0
0,close
1,volume
2,vixVolume
3,DEMA5
4,DEMA30
5,DEMA60
6,DEMA300
7,DEMA480
8,DEMA2400
9,DEMA12000
10,DEMA96000
11,EMA5
12,EMA30
13,EMA60
14,EMA300
15,EMA480
16,EMA2400
17,EMA12000
18,EMA96000
19,MIDPRICE5
20,MIDPRICE30
21,MIDPRICE60
22,MIDPRICE300
23,MIDPRICE480
24,MIDPRICE2400
25,MIDPRICE12000
26,MIDPRICE96000
27,SMA5
28,SMA30
29,SMA60
30,SMA300
31,SMA480
32,SMA2400
33,SMA12000
34,SMA96000
35,T35
36,T330
37,T360
38,T3300
39,T3480
40,T32400
41,T312000
42,TEMA5
43,TEMA30
44,TEMA60
45,TEMA300
46,TEMA480
47,TEMA2400
48,TEMA12000
49,TEMA96000
50,TRIMA5
51,TRIMA30
52,TRIMA60
53,TRIMA300
54,TRIMA480
55,TRIMA2400
56,TRIMA12000
57,TRIMA96000
58,WMA5
59,WMA30
60,WMA60
61,WMA300
62,WMA480
63,WMA2400
64,WMA12000
65,WMA96000
66,ADX5
67,ADX30
68,ADX60
69,ADX300
70,ADX480
71,ADX2400
72,ADX12000
73,ADX96000
74,ADXR5
75,ADXR30
76,ADXR60
77,ADXR300
78,ADXR480
79,ADXR2400
80,ADXR12000
81,ADXR96000
82,AROONOSC5
83,AROONOSC30
84,AROONOSC60
85,AROONOSC300
86,AROONOSC480
87,AROONOSC2400
88,AROONOSC12000
89,AROONOSC96000
90,BOP5
91,BOP30
92,BOP60
93,BOP300
94,BOP480
95,BOP2400
96,BOP12000
97,BOP96000
98,CMO5
99,CMO30
100,CMO60
101,CMO300
102,CMO480
103,CMO2400
104,CMO12000
105,CMO96000
106,DX5
107,DX30
108,DX60
109,DX300
110,DX480
111,DX2400
112,DX12000
113,DX96000
114,MFI5
115,MFI30
116,MFI60
117,MFI300
118,MFI480
119,MFI2400
120,MFI12000
121,MFI96000
122,MINUS_DM5
123,MINUS_DM30
124,MINUS_DM60
125,MINUS_DM300
126,MINUS_DM480
127,MINUS_DM2400
128,MINUS_DM12000
129,MINUS_DM96000
130,MOM5
131,MOM30
132,MOM60
133,MOM300
134,MOM480
135,MOM2400
136,MOM12000
137,MOM96000
138,ROC5
139,ROC30
140,ROC60
141,ROC300
142,ROC480
143,ROC2400
144,ROC12000
145,ROC96000
146,RSI5
147,RSI30
148,RSI60
149,RSI300
150,RSI480
151,RSI2400
152,RSI12000
153,RSI96000
154,TRIX5
155,TRIX30
156,TRIX60
157,TRIX300
158,TRIX480
159,TRIX2400
160,TRIX12000
161,TRIX96000
